"OS_NAME,PT_NAME,Timebase,Derivation,Timestamp,Value,Manual"
"BME_TW,RAIN_G,5M,VAL,12:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,12:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,12:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,12:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,12:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,12:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,12:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,11:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,10:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,09:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,08:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,08:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,08:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,08:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,08:35 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,08:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,08:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,08:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,08:15 11-SEP-2011,0.200000,"
"BME_TW,RAIN_G,5M,VAL,08:10 11-SEP-2011,0.200000,"
"BME_TW,RAIN_G,5M,VAL,08:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,08:00 11-SEP-2011,0.200000,"
"BME_TW,RAIN_G,5M,VAL,07:55 11-SEP-2011,0.200000,"
"BME_TW,RAIN_G,5M,VAL,07:50 11-SEP-2011,0.200000,"
"BME_TW,RAIN_G,5M,VAL,07:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,07:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,07:35 11-SEP-2011,0.200000,"
"BME_TW,RAIN_G,5M,VAL,07:30 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,07:25 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,07:20 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,07:15 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,07:10 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,07:05 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,07:00 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,06:55 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,06:50 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,06:45 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,06:40 11-SEP-2011,0.000000,"
"BME_TW,RAIN_G,5M,VAL,06:35 11-SEP-2011,0.000000,"
